taxi_id,pickup_time,pickup_lon,pickup_lat,dropoff_time,dropoff_lon,dropoff_lat,计算时长,计算距离,score,cluster
fe369f1a308e90567056d3719d3c483e,1488584344,3992317,11618786,1488585520,3987463,11628863,1176,11.456376453614201,5.821603873176775,2.0
feb6ebdec4ee4c3eb7a36cb772ac5559,1488561245,3993614,11646858,1488567060,4005221,11660858,5815,16.601016413518145,7.710737088520325,2.0
fec905fcee1d2733af48b2edff7e0a3c,1488571149,3991355,11652523,1488593201,3991794,11652951,22052,0.5234752624389152,22.48007926281722,3.0
fef64c4f0cce97fe9d8485f850ef31cf,1488606300,3995377,11623205,1488606362,3995389,11623866,62,0.7350221335963033,10.181393515071704,2.0
fefa5e4c51cc1d1624ccafe583ecdc33,1488571079,3954468,11626102,1488582603,3954434,11626122,11524,0.027827936455814335,13.36164528599856,2.0
ff0c09ae9b1bb45bdce7d6d30b07dfbb,1488616295,3990818,11636783,1488620176,4000368,11645915,3881,11.199335966182119,1.9230036214910624,2.0
ff305c03d3c740126ed55ae7eabbd986,1488599746,4003135,11640487,1488629363,4006899,11636590,29617,4.715594383567832,29.346145669246592,3.0
ff320058db8730b393d715a69d8b7ef7,1488586539,3998068,11633038,1488593061,3987487,11645129,6522,14.425885026728583,8.050305231141465,2.0
ff769ba778a30c68f48e4a62de28a336,1488627505,4006046,11669713,1488629231,4014862,11687735,1726,20.520767040118645,7.343794774110492,2.0
ffe7253835a9e47f51e48f9bf915adcf,1488597658,3990322,11637012,1488601790,4005333,11660920,4132,27.60727644770891,8.187487371298449,2.0
0030744841de76c9f6b45ef10c916834,1488657556,3992780,11667893,1488670328,3992789,11667891,12772,0.005013519461698407,14.718713758245284,2.0
0049c926a5ead68fa8af80f55f499892,1488676593,3989152,11652272,1488679475,3987777,11636850,2882,17.161994354328286,0.0128162654976927,2.0
01451681987071a2debe53ea46ff913e,1488668808,3988849,11640147,1488671831,4005689,11660743,3023,24.378628470081164,8.10991624899781,2.0
01d8e94f4e2fca0dd32072c53ee39ada,1488695417,4004837,11660830,1488698415,3991842,11627942,2998,37.13158129310877,9.722148338949744,2.0
01e72ca20f1c6b5552836bc0ff9e595e,1488657598,3987384,11621436,1488673508,3987386,11621436,15910,0.0009823642961449372,24.02815960415852,2.0
01f3b65b2c2e3fed88801283c1121bc4,1488693148,4029228,11662310,1488695364,4044770,11668883,2216,10.65511893748266,6.244058820450869,2.0
024bd0857f908478d0766486cd704531,1488690822,4021148,11623063,1488691003,4021154,11623290,181,0.2524297088177383,4.605553790515416e-05,2.0
0271800ce6ed7e782366d1949c67773a,1488657571,3977813,11677621,1488667617,3977810,11676343,10046,1.4210719568070675,11.60234437571122,2.0
029a589a1bd76d0ce3e0a4a91630e9d8,1488697804,4016867,11649500,1488705858,3989605,11631732,8054,23.918490389683903,11.067034384713327,3.0
02a04f74c0585bd2f1b4034870eeb1aa,1488675112,3999040,11641820,1488702149,3998673,11629888,27037,13.269015710404862,22.830723123651907,3.0
033e18518ca0e37f0d1e03168f6d52cf,1488681231,4006226,11658169,1488722917,3984584,11640826,41686,22.071450739115562,34.90929164637389,1.0
0381101b8fc26d52405a5f59a9e6876d,1488705328,3991672,11651227,1488708210,4003218,11657159,2882,8.741900535166437,5.746881388531905,2.0
03c29ba36baf35a75f3918846e105a2d,1488682265,4031494,11662682,1488683670,4031536,11663442,1405,0.8453406744475573,0.0138492470457428,2.0
0418b6ddd0df855f3df9c364950526c9,1488707520,4007739,11658753,1488711104,4008807,11634702,3584,26.74872868704533,3.8234313580028942,2.0
04264d22bc090157faee3ce00ddd0642,1488657575,3971293,11610840,1488667439,3971289,11610828,9864,0.013486188289044312,16.30238440584245,2.0
045763f7f6b2fa629dd7779a4dbe3c59,1488692166,3994807,11641707,1488692286,3994804,11643330,120,1.8046942700392274,15.451000074255138,2.0
0476c1b942a2ecae3c46db91e2d9588e,1488668504,3998001,11635252,1488668624,3997521,11634926,120,0.4330453305985324,14.445386380397792,2.0
0476c1b942a2ecae3c46db91e2d9588e,1488709143,3996115,11635498,1488709263,3995665,11635042,120,0.5535645583156208,14.445386380397792,2.0
0514f6f0511d55d33a8c7682e6921fba,1488695901,4029225,11662271,1488701867,4032711,11663945,5966,2.5463220948150362,8.081531951467875,2.0
0579ca1ad8ab0a4c446a7239db29c331,1488673024,3988275,11637883,1488693199,3992078,11638308,20175,1.9375059031320288,20.40580114794679,3.0
05a8a485246d41087682e4e69b0ef0a5,1488571322,4000633,11634514,1488643015,4008369,11633783,71693,3.9024880042164303,56.943090151144965,1.0
05b892c2a654ede1c18cd986c12ecc7f,1488657544,3969129,11642525,1488675476,3969132,11642525,17932,0.0014845519195893872,19.751791486724628,2.0
05da007c2e063388c50d1be9c6e115d3,1488643907,3981551,11592835,1488692739,3981546,11592843,48832,0.009221783069858765,48.754595298084574,1.0
05ffd650f7a7b534e28ff66f89c4f833,1488668971,4001377,11650234,1488715893,4007559,11658338,46922,9.520414917883597,37.93192788502809,1.0
064b9301aba2ac7dc0d13ae984b5c03a,1488703355,4018873,11672973,1488712038,4012815,11665078,8683,9.285618224192193,9.274619402656317,2.0
065e8a711eba9b6d2ea8a774a426882e,1488657599,3978953,11684832,1488668997,3978128,11684040,11398,0.9732275339297334,12.72394369547995,2.0
06a0e636227b58ed1cef78a0552d5db5,1488694977,3985339,11636519,1488698562,3991677,11645507,3585,10.474270214876496,0.0135952944603017,2.0
06aeb9a9b52e20ecabd80f1488093794,1488688395,4007918,11658250,1488693518,4005211,11660948,5123,3.288803126386215,7.5378856198958895,2.0
06c2d7e12881fb245be9fd72c236721f,1488676747,4001163,11626520,1488678809,3993240,11638192,2062,13.553896160055396,5.9185752486190495,2.0
0785573e8972c525882693ab1ad2ae96,1488709214,3990021,11632286,1488714798,3990016,11632289,5584,0.004147993096886869,9.294042716573152,2.0
07cf2fd45cb171c4227a837daf8a782b,1488694659,3986321,11636925,1488699914,3998860,11648753,5255,14.542632589088338,7.347248100426614,2.0
08205ba809b7e243514c51f751697db0,1488685190,3989858,11665150,1488689189,3990002,11665192,3999,0.08567292138449488,7.813693903080837,2.0
082dd3e63349124a45832ab4d0e60216,1488657583,3983237,11636803,1488675848,3983286,11636790,18265,0.028187638099196118,19.31977634999658,3.0
08977bda2b3ac3bf8e694ac4a9f6d61e,1488682074,3988258,11667850,1488710034,3988247,11667822,27960,0.031615197554683554,28.49443922179452,3.0
08c54ad865fab5c0dbda33fc793ae772,1488706653,4021673,11622735,1488708035,4012011,11624582,1382,5.174562720749888,6.060192788993577,2.0
08d58c7b5a8efd1ce654127fdd4980df,1488705695,3988744,11635740,1488705815,3989380,11635721,120,0.3146837757193282,14.866038094304882,2.0
090e41326dba057b8691de3bca673050,1488698885,3992955,11650737,1488703284,3989099,11633460,4399,19.305648760171266,3.713961207525623,2.0
09310218538e7027157115d556d8a304,1488657568,3959989,11600077,1488681302,3960037,11600086,23734,0.025448430698024528,24.400850809858834,3.0
09b1bc4919a05818fd8c111e57b37b26,1488671599,3988595,11667331,1488673339,3997875,11673164,1740,7.973000911759051,5.9185752486190495,2.0
0a20c722a93a8325c23fd5cdabf51f02,1488668832,3996737,11641181,1488673236,3985665,11642153,4404,5.582952000479891,3.687122439335447,2.0
0a3a10b4d00308d6852029bb546ac13d,1488657587,3991946,11628396,1488688646,3991813,11628131,31059,0.3018554308835578,31.024927223406088,3.0
0a7c77cb76c4bb86a1185933aeb7d2ec,1488700977,3994218,11642780,1488708047,3994692,11642866,7070,0.2533262353758633,9.484358519787344,2.0
0acc64550c5acd35a0cb61038b11c129,1488657699,4003888,11652655,1488665395,4003893,11652649,7696,0.0071187819550912945,10.663761857414649,2.0
0adc9d8244d2a5df8a32d9f1e109a9e2,1488678540,3993687,11643038,1488682514,3984263,11673012,3974,33.657757498529236,8.467615278190294,2.0
0b1d8a114bb0f602d6ca3d01319953f9,1488698352,3983705,11646704,1488702183,3998145,11632744,3831,17.085582431612384,3.792897870441872,2.0
0b215f34453c8460a171525e6ce673d7,1488710250,4035032,11665331,1488717945,4034134,11663214,7695,2.396204290475769,9.57461293455751,2.0
0b2266b659e7c229e162bc12f7e084ad,1488695366,3986880,11627538,1488702381,4005353,11660858,7015,38.16246064771836,10.801919751010333,3.0
0b415c02cb98df73643b7e6c2348e1d6,1488657549,3999736,11669307,1488682713,3999719,11669169,25164,0.15368375736606418,25.614687634144623,3.0
